Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,120.315491,120.382408,117.629066,118.489487,102.397301,5417443
2021-01-05,119.512428,121.108986,119.130020,120.592735,104.214912,6395872
2021-01-06,121.319313,126.080307,121.147224,123.604210,106.817383,8322708
2021-01-07,124.321220,124.722755,122.619499,123.317398,106.569527,4714740
2021-01-08,122.915871,123.632889,121.395790,122.877632,106.189491,4891305
2021-01-11,122.323135,123.977058,122.045891,122.925430,106.230804,5859587
2021-01-12,123.413002,124.139580,122.313576,123.527725,106.751297,3921663
2021-01-13,123.470360,124.043976,120.898659,121.338432,104.859337,8030874
2021-01-14,122.390060,124.435944,121.940727,123.298279,106.553009,7848347
2021-01-15,122.638626,123.556404,122.055450,122.743790,106.073830,5131153
2021-01-19,123.594643,123.891014,122.456978,123.346077,106.594330,5646308
2021-01-20,123.996178,125.296364,122.906311,124.359467,107.470070,5856240
2021-01-21,124.397705,126.424477,124.330788,125.860420,108.767174,13116003
2021-01-22,115.391968,115.391968,112.198853,113.393883,97.993744,39814421
2021-01-25,113.537285,114.282982,112.284897,113.365204,97.968956,14315974
2021-01-26,113.938812,117.198853,113.212234,117.103249,101.199341,11186656
2021-01-27,116.711281,119.302101,116.271507,117.084129,101.182800,12705239
2021-01-28,117.399620,117.782028,114.789673,114.799232,99.208237,8455969
2021-01-29,114.933075,115.965584,113.671127,113.871895,98.406822,12369473
2021-02-01,114.627151,115.630974,113.508606,115.239006,99.588272,6538023
2021-02-02,114.110901,115.678780,114.034416,114.187378,98.679466,6633627
2021-02-03,113.804970,114.531548,112.925430,113.881454,98.415092,7024308
2021-02-04,114.636711,115.774376,113.642448,115.697899,99.984856,4771957
2021-02-05,115.678780,116.453156,115.219887,116.434036,100.621010,4775722
2021-02-08,117.227531,118.527725,117.017204,118.173996,102.124657,6158848
2021-02-09,116.539200,117.208412,115.726578,116.730400,102.225143,4933982
2021-02-10,117.619499,117.982796,115.879539,116.864243,102.342323,5090673
2021-02-11,116.634796,116.835564,115.325050,115.592735,101.228828,5629154
2021-02-12,115.678780,116.022942,114.808792,115.487572,101.136734,4049275
2021-02-16,114.866158,115.296364,114.110901,114.789673,100.525558,6945231
2021-02-17,114.024857,115.258125,113.785851,114.694077,100.441841,4141219
2021-02-18,115.200768,115.621414,114.435944,115.420647,101.078125,5646413
2021-02-19,115.439774,115.449333,113.173996,113.757172,99.621353,6881320
2021-02-22,113.288719,115.803062,113.231361,115.544930,101.186966,6149643
2021-02-23,115.602295,116.013382,114.531548,115.401527,101.061386,4739740
2021-02-24,115.487572,118.059273,115.219887,117.791588,103.154457,6087720
2021-02-25,117.944550,118.881454,116.959846,117.084129,102.534897,5953623
2021-02-26,116.873802,116.873802,113.652008,113.699806,99.571121,9467346
2021-03-01,115.057358,116.940727,114.588913,115.430206,101.086494,5977367
2021-03-02,115.430206,116.539200,114.971321,115.038239,100.743233,4732418
2021-03-03,115.200768,117.237091,114.703636,116.978966,102.442802,7744898
2021-03-04,116.634796,117.801147,113.537285,114.827919,100.559036,8439651
2021-03-05,115.334610,118.307838,114.961761,117.428299,102.836304,7268968
2021-03-08,117.581261,121.271507,117.476097,119.321220,104.494011,7572203
2021-03-09,119.885277,120.869980,118.699806,118.718925,103.966560,5867014
2021-03-10,119.550667,122.600380,119.130020,122.246651,107.055901,7581199
2021-03-11,122.456978,122.982796,121.204590,121.548759,106.444756,5383657
2021-03-12,121.596558,122.065010,121.042068,121.998085,106.838249,4194565
2021-03-15,122.151054,123.087952,121.931168,122.925430,107.650352,3577948
2021-03-16,122.638626,122.868073,121.739960,122.600380,107.365692,4867247
2021-03-17,122.810707,123.795410,121.883362,123.355644,108.027092,4488804
2021-03-18,123.269600,125.239006,122.170174,124.340347,108.889427,6104142
2021-03-19,124.302101,124.703636,122.877632,123.231361,107.918251,10297870
2021-03-22,122.848946,124.971321,122.265778,124.808792,109.299683,4356485
2021-03-23,124.703636,125.774376,124.091782,124.722755,109.224319,4556794
2021-03-24,125.191208,126.300194,124.827919,124.875717,109.358284,4189230
2021-03-25,124.598473,127.380501,124.063095,127.217972,111.409492,5809484
2021-03-26,127.428299,130.478012,127.265778,130.382416,114.180710,5823710
2021-03-29,130.000000,131.042068,129.550674,129.885284,113.745338,4835344
2021-03-30,129.885284,130.277252,128.126190,128.795410,112.790894,5010758
2021-03-31,128.623322,128.785858,126.873802,127.399620,111.568565,5172575
2021-04-01,127.877632,128.040146,126.453156,127.370934,111.543434,4261404
2021-04-05,127.762909,130.678772,127.533463,129.952194,113.803940,5722980
2021-04-06,129.617584,129.674957,128.193115,128.317398,112.372292,3787566
2021-04-07,127.954109,129.005737,127.896751,128.996170,112.966721,3112896
2021-04-08,128.652008,129.665390,128.260040,129.177826,113.125793,4275211
2021-04-09,128.938812,129.770554,128.785858,129.761002,113.636520,3162999
2021-04-12,129.082214,129.416824,127.963669,128.671127,112.682068,3926684
2021-04-13,127.151054,127.743790,124.646271,125.411087,109.827126,8403041
2021-04-14,125.535370,126.940727,124.780113,126.797325,111.041107,6137928
2021-04-15,127.418739,127.982796,126.405357,126.749519,110.999237,4062664
2021-04-16,127.151054,128.202682,127.103249,127.715103,111.844833,5535223
2021-04-19,127.724663,127.934990,126.749519,127.265778,111.451347,8575736
2021-04-20,131.042068,133.623322,130.688339,132.084137,115.670959,16192708
2021-04-21,131.988525,137.409180,131.653915,137.237091,120.183578,12456814
2021-04-22,137.380493,138.374756,134.799240,135.066925,118.283096,7428064
2021-04-23,135.095596,137.294449,134.751434,136.166351,119.245918,4765576
2021-04-26,136.156784,137.313583,135.258133,135.344162,118.525887,4927497
2021-04-27,135.458893,136.290634,134.560226,135.764816,118.894272,4062664
2021-04-28,136.634796,137.093689,135.850861,136.711288,119.723145,3941433
2021-04-29,137.791580,142.198853,136.692154,137.896744,120.761261,4554179
2021-04-30,137.380493,137.504776,134.369019,135.640533,118.785416,9280321
2021-05-03,137.485657,139.340347,137.237091,138.384323,121.188263,5997241
2021-05-04,138.059280,140.143402,137.982788,139.340347,122.025497,6642623
2021-05-05,139.521988,139.521988,138.594650,138.833649,121.581749,5229895
2021-05-06,138.871887,141.978973,138.795410,141.892929,124.260872,7848661
2021-05-07,139.502869,139.713196,138.212234,139.063095,123.143387,7325661
2021-05-10,139.388138,141.854691,139.388138,139.741867,123.744484,7304636
2021-05-11,138.613770,138.804977,136.615677,137.877625,122.093651,7454214
2021-05-12,137.514343,137.810699,134.933075,135.086044,119.621635,6233742
2021-05-13,135.229446,138.527725,135.066925,137.829834,122.051331,4807207
2021-05-14,138.728485,139.282990,137.629059,138.317398,122.483070,2873780
2021-05-17,138.087952,139.388138,137.982788,138.728485,122.847084,4471755
2021-05-18,138.412994,138.910141,136.931168,137.581268,121.831192,4000009
2021-05-19,136.061188,136.902481,134.722748,136.892929,121.221680,4498532
2021-05-20,136.826004,138.537292,135.908218,137.552582,121.805809,4301675
2021-05-21,137.934998,139.292542,137.934998,138.374756,122.533859,4219041
2021-05-24,138.680695,138.996170,137.839386,138.355637,122.516930,3449290
2021-05-25,138.546844,138.623322,136.902481,137.466537,121.729622,4118311
2021-05-26,137.189301,137.657745,136.749527,137.074570,121.382515,3225655
2021-05-27,137.495224,138.403442,137.313583,137.495224,121.755013,5889294
2021-05-28,137.868073,137.982788,137.179733,137.418732,121.687271,2651192
2021-06-01,138.623322,139.416824,137.428299,137.848953,122.068253,2528705
2021-06-02,138.260040,139.340347,137.772461,139.311661,123.363510,2915097
2021-06-03,138.537292,139.464630,137.705551,139.149139,123.219612,4320608
2021-06-04,139.579346,141.061188,139.349899,140.936905,124.802704,3261323
2021-06-07,141.061188,142.198853,140.697891,141.510513,125.310623,3621984
2021-06-08,141.606125,143.594650,141.606125,142.514343,126.199554,5313785
2021-06-09,142.476105,144.426392,142.275330,144.043976,127.554085,5547252
2021-06-10,144.808792,146.118546,143.173996,143.919693,127.444023,4977391
2021-06-11,143.814529,145.172089,143.757172,144.627151,128.070511,3596462
2021-06-14,144.082214,144.388138,142.122375,143.432129,127.012268,3498661
2021-06-15,143.260040,143.317398,142.065002,142.791580,126.445061,2628912
2021-06-16,143.173996,143.173996,140.745697,141.328873,125.149796,4057329
2021-06-17,141.061188,141.548752,138.891006,139.196945,123.261917,4568300
2021-06-18,138.126190,138.317398,136.749527,136.826004,121.162407,9577699
2021-06-21,137.772461,140.602295,137.724670,140.200760,124.150826,4482633
2021-06-22,140.076477,140.353729,138.957932,139.923523,123.905327,2549102
2021-06-23,139.990433,140.057358,138.212234,138.250473,122.423805,3349920
2021-06-24,139.388138,139.761002,138.326965,139.043976,123.126465,3775746
2021-06-25,138.986618,140.468445,138.575531,140.382416,124.311668,3759533
2021-06-28,140.544937,140.822174,138.537292,138.900574,122.999489,4067789
2021-06-29,138.871887,140.286804,138.718933,139.149139,123.219612,2540211
2021-06-30,138.747604,140.468445,138.346085,140.143402,124.100044,3394375
2021-07-01,140.497131,141.013382,140.124283,140.382416,124.311668,2809661
2021-07-02,140.449326,140.487579,133.326965,133.862335,118.538002,17584515
2021-07-06,133.833649,134.244736,131.070740,132.676865,117.488258,8466010
2021-07-07,132.657745,134.158707,132.657745,133.671127,118.368706,4246446
2021-07-08,131.720840,135.095596,131.606125,134.550674,119.147575,5739820
2021-07-09,135.229446,135.736145,134.646271,135.296371,119.807884,4083689
2021-07-12,135.210327,135.717010,133.957932,134.722748,119.299927,3496360
2021-07-13,134.722748,134.722748,133.489487,134.110901,118.758125,3309858
2021-07-14,134.531555,134.560226,132.820267,133.671127,118.368706,4606061
2021-07-15,133.193115,134.282990,132.695984,134.273422,118.902023,3807126
2021-07-16,134.799240,134.799240,132.495224,132.791580,117.589813,4298328
2021-07-19,130.449326,132.399612,130.219879,131.854691,116.760185,8977086
2021-07-20,136.711288,138.546844,132.600388,133.814529,118.495674,14237838
2021-07-21,133.814529,135.172089,133.508606,135.086044,119.621635,5024984
2021-07-22,135.430206,135.573608,134.235184,134.521988,119.122147,3466653
2021-07-23,134.761002,135.468445,134.158707,135.124283,119.655510,4680013
2021-07-26,135.172089,136.711288,134.923523,136.491394,120.866089,4441630
2021-07-27,136.261948,137.323135,135.372849,136.472275,120.849190,3281302
2021-07-28,136.720840,136.806885,135.411087,135.535370,120.019516,2660815
2021-07-29,136.070740,136.673035,135.372849,135.688339,120.154976,2793761
2021-07-30,135.296371,135.611862,134.598465,134.761002,119.333794,3698238
2021-08-02,135.229446,136.768646,134.827911,135.200760,119.723213,3064257
2021-08-03,135.659653,138.336517,135.420654,137.734222,121.966667,4272596
2021-08-04,137.476105,137.839386,136.204590,136.481842,120.857635,2960285
2021-08-05,136.739960,137.103256,135.965576,136.491394,120.866089,2884240
2021-08-06,136.711288,138.040146,136.606125,137.753342,121.983582,4002833
2021-08-09,135.946457,136.233276,134.770554,135.038239,120.956009,5129689
2021-08-10,135.000000,135.573608,134.168259,135.162521,121.067314,5543695
2021-08-11,135.544937,136.491394,135.277252,135.879547,121.709579,4455960
2021-08-12,136.003830,136.854691,135.831741,136.778198,122.514496,2184780
2021-08-13,136.367111,137.265778,136.175903,136.883362,122.608704,1997965
2021-08-16,136.931168,137.418732,135.975143,137.275330,122.959801,2913319
2021-08-17,136.711288,136.864243,134.885284,136.156784,121.957886,3215195
2021-08-18,135.439774,135.678772,133.260040,133.336517,119.431747,3672192
2021-08-19,132.590820,133.317398,131.175903,131.950287,118.190071,4351465
2021-08-20,131.682602,133.250473,131.233276,132.992355,119.123474,2780059
2021-08-23,133.479919,133.986618,132.695984,133.479919,119.560188,3179422
2021-08-24,133.632889,134.063095,133.193115,133.690247,119.748581,2474418
2021-08-25,133.766724,134.608032,133.326965,133.709366,119.765717,2105389
2021-08-26,133.814529,134.608032,132.609940,132.676865,118.840881,2613640
2021-08-27,132.609940,133.451248,132.313583,133.279160,119.380356,2572637
2021-08-30,133.365204,133.728485,132.715103,132.858505,119.003578,2087293
2021-08-31,133.403442,134.741867,132.839386,134.168259,120.176743,4429915
2021-09-01,133.824097,133.910141,133.068832,133.173996,119.286171,2588327
2021-09-02,133.575531,133.891006,132.915863,133.852768,119.894157,2840413
2021-09-03,133.537292,134.292542,133.173996,133.441681,119.525940,2009575
2021-09-07,133.508606,133.642441,131.701721,131.988525,118.224312,3436110
2021-09-08,132.065002,132.973236,131.548752,132.571701,118.746689,3122728
2021-09-09,131.787766,132.848953,131.510513,131.682602,117.950287,3669682
2021-09-10,132.715103,133.240921,130.975143,130.994263,117.333740,4157955
2021-09-13,132.313583,132.877625,131.462708,132.074570,118.301392,4334729
