Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,144.300003,146.889999,144.279999,146.529999,139.870667,10727400
2021-01-05,146.600006,147.070007,144.490005,145.750000,139.126114,8832700
2021-01-06,145.089996,148.100006,145.009995,146.660004,139.994766,7306300
2021-01-07,147.619995,147.759995,146.039993,146.649994,139.985184,6846000
2021-01-08,146.880005,147.000000,145.809998,146.630005,139.966125,8159400
2021-01-11,146.000000,147.990005,146.000000,147.289993,140.596069,8754800
2021-01-12,149.000000,149.929993,148.320007,148.970001,142.199753,7791100
2021-01-13,148.750000,149.070007,147.429993,147.449997,140.748840,5356500
2021-01-14,147.820007,148.000000,146.039993,146.970001,140.290634,7672400
2021-01-15,145.139999,145.899994,143.669998,144.639999,138.066559,11973500
2021-01-19,144.639999,145.070007,142.669998,143.389999,136.873352,8041200
2021-01-20,143.589996,145.660004,142.889999,145.509995,138.897018,7925200
2021-01-21,145.360001,145.729996,144.210007,144.850006,138.267029,4775300
2021-01-22,145.600006,147.339996,145.119995,146.330002,139.679749,6406500
2021-01-25,145.360001,146.250000,144.270004,146.199997,139.555679,6343700
2021-01-26,145.630005,147.809998,145.470001,147.509995,140.806122,5010500
2021-01-27,146.960007,147.860001,143.550003,143.839996,137.302887,9970100
2021-01-28,144.460007,146.259995,143.630005,143.750000,137.217026,7433900
2021-01-29,143.179993,143.750000,140.350006,140.490005,134.105133,10836400
2021-02-01,140.910004,141.490005,139.190002,139.270004,132.940613,8648400
2021-02-02,139.759995,142.149994,139.440002,140.770004,134.372437,9000800
2021-02-03,140.660004,142.050003,140.630005,141.199997,134.782898,4988900
2021-02-04,141.789993,143.179993,141.259995,142.529999,136.052460,5782100
2021-02-05,143.460007,144.850006,142.529999,144.360001,137.799286,6817200
2021-02-08,144.809998,145.580002,144.460007,145.029999,138.438843,5275100
2021-02-09,144.580002,146.320007,144.580002,145.830002,139.202499,5302300
2021-02-10,145.830002,145.899994,143.539993,144.130005,137.579727,6192300
2021-02-11,144.139999,144.949997,143.710007,144.020004,137.474747,4263800
2021-02-12,144.160004,144.610001,143.669998,144.470001,137.904282,4474500
2021-02-16,145.940002,146.389999,144.929993,145.660004,139.040207,9297000
2021-02-17,144.649994,147.500000,144.500000,147.199997,140.510208,8523700
2021-02-18,139.000000,140.699997,137.500000,137.660004,131.403793,32309100
